street,house
ШЕВЧЕНКО, 81
ШЕВЧЕНКО, 83
ШЕВЧЕНКО, 84
ШЕВЧЕНКО, 85
ШЕВЧЕНКО, 87
ШЕВЧЕНКО, 89
ШЕВЧЕНКО, 91
ДОВАТОРЦЕВ, 5
ЛЕНИНА, 416
СОЦИАЛИСТИЧЕСКАЯ, 10
К.МАРКСА, 66
Л.ТОЛСТОГО, 96
ЛЕРМОНТОВА, 206
ЛЕРМОНТОВА, 239/1
СОЦИАЛИСТИЧЕСКАЯ, 20/1
СОЦИАЛИСТИЧЕСКАЯ, 8/2
СОЦИАЛИСТИЧЕСКАЯ, 19
ЛЕНИНА, 328/5
СОЦИАЛИСТИЧЕСКАЯ, 32/2
ЮНОСТИ, 24/2
45, ПАРАЛЛЕЛЬ
50, ЛЕТ
АВИАЦИОННАЯ, 13
АПАНАСЕНКОВСКАЯ, 1А
БАГРАТИОНА, 26
БАКИНСКАЯ, 21
БАКИНСКАЯ, 27
БАКИНСКАЯ, 47
БАЛАХОНОВА, 14
БИОЛОГИЧЕСКАЯ, 3
БИОЛОГИЧЕСКАЯ, 4/1
БОТАНИЧЕСКИЙ, 10
БОТАНИЧЕСКИЙ, 16а
БРАТСКИЙ, 14
БРАТСКИЙ, 17
БРАТСКИЙ, 19
БРАТСКИЙ, 20
БРАТСКИЙ, 5
БРАТСКИЙ, 8
БУЛКИНА, 19
БУРМИСТРОВА, 9
ВОЛГО-ДОНСКОЙ, 99
ВОРОШИЛОВА, 7/2
ВРАЧЕБНЫЙ, 12
ВРАЧЕБНЫЙ, 38
ВРАЧЕБНЫЙ, 40
ВРАЧЕБНЫЙ, 45
ВРАЧЕБНЫЙ, 47
ВРАЧЕБНЫЙ, 49
ВРАЧЕБНЫЙ, 51
ГАГАРИНА, 11
ГВАРДЕЙСКИЙ, 16
ГВАРДЕЙСКИЙ, 8
ГЕРЦЕНА, 104в
ГОЛЕНЕВА, 25
ГОЛЕНЕВА, 27
ГОЛЕНЕВА, 66
ГОЛЕНЕВА, 80
ГОРЬКОГО, 16
ГОТВАЛЬДА, 15
ГОТВАЛЬДА, 2
ГОТВАЛЬДА, 4
ГОТВАЛЬДА, 5
ГОТВАЛЬДА, 6
ГОТВАЛЬДА, 7
ГОТВАЛЬДА, 8
ГОТВАЛЬДА, 9
ДЗЕРЖИНСКОГО, 147
ДЗЕРЖИНСКОГО, 153
ДЗЕРЖИНСКОГО, 167
ДЗЕРЖИНСКОГО, 169
ДЗЕРЖИНСКОГО, 203
ДЗЕРЖИНСКОГО, 205а
ДЗЕРЖИНСКОГО, 223а
ДЗЕРЖИНСКОГО, 223б
ДЗЕРЖИНСКОГО, 223в
ДЗЕРЖИНСКОГО, 223г
ДЗЕРЖИНСКОГО, 31
ДЗЕРЖИНСКОГО, 47
ДЗЕРЖИНСКОГО, 63
ДЗЕРЖИНСКОГО, 66
ДЗЕРЖИНСКОГО, 67
ДЗЕРЖИНСКОГО, 69
ДЗЕРЖИНСКОГО, 72
ДЗЕРЖИНСКОГО, 76
ДЗЕРЖИНСКОГО, 77
ДЗЕРЖИНСКОГО, 95
ДОБРОЛЮБОВА, 3а
ДОБРОЛЮБОВА, 4
ДОБРОЛЮБОВА, 6
ДОВАТОРЦЕВ, 26б
ДОВАТОРЦЕВ, 30
ДОВАТОРЦЕВ, 81/6
ДОСТОЕВСКОГО, 54Б/1
ДОСТОЕВСКОГО, 54Б/2
ДОСТОЕВСКОГО, 54б/3
ДОСТОЕВСКОГО, 54б/4
ДОСТОЕВСКОГО, 54б/4Б
ДОСТОЕВСКОГО, 54в
ЖЕЛЕЗНОДОРОЖНАЯ, 183а
ЗООТЕХНИЧЕСКИЙ, 13а
К.МАРКСА, 12
К.МАРКСА, 30
К.МАРКСА, 32
К.МАРКСА, 37
К.МАРКСА, 40
К.МАРКСА, 65а
К.МАРКСА, 7
К.МАРКСА, 76
К.МАРКСА, 78
К.МАРКСА, 90
К.ХЕТАГУРОВА, 14
К.ХЕТАГУРОВА, 2
К.ХЕТАГУРОВА, 4
К.ХЕТАГУРОВА, 4а
КАЗАЧЬЯ, 22
КАЛИНИНА, 12
КАЛИНИНА, 44
КАЛИНИНА, 52
КАХОВСКИЙ, 22
КВАРТАЛ, 529/6А
КОЛЛЕКТИВНАЯ, 58
КОМСОМОЛЬСКАЯ, 1
КОМСОМОЛЬСКАЯ, 118
КОМСОМОЛЬСКАЯ, 3
КОМСОМОЛЬСКАЯ, 3а
КОМСОМОЛЬСКАЯ, 4а
КОМСОМОЛЬСКАЯ, 4б
КОМСОМОЛЬСКАЯ, 5
КОМСОМОЛЬСКАЯ, 84
КОМСОМОЛЬСКАЯ, 88
КООПЕРАТИВНЫЙ, 1
КООПЕРАТИВНЫЙ, 10
КООПЕРАТИВНЫЙ, 11
КООПЕРАТИВНЫЙ, 12
КООПЕРАТИВНЫЙ, 2
КООПЕРАТИВНЫЙ, 3
КООПЕРАТИВНЫЙ, 4
КООПЕРАТИВНЫЙ, 5
КООПЕРАТИВНЫЙ, 6
КООПЕРАТИВНЫЙ, 7
КООПЕРАТИВНЫЙ, 8
КООПЕРАТИВНЫЙ, 9
КОРОЛЕНКО, 1
КОРОЛЕНКО, 14/2
КОРОЛЕНКО, 15/2
КОРОЛЕНКО, 17/1
КОРОЛЕНКО, 17/2
КОРОЛЕНКО, 19
КРАСНОФЛОТСКАЯ, 138а
КРАСНОФЛОТСКАЯ, 66
КУЙБЫШЕВА, 46а
ЛАЗО, 63
ЛЕНИНА, 189
ЛЕНИНА, 193
ЛЕНИНА, 205
ЛЕНИНА, 235
ЛЕНИНА, 260
ЛЕНИНА, 412
ЛЕНИНА, 414
ЛЕНИНА, 418
ЛЕНИНА, 441/3
ЛЕНИНА, 441/8
ЛЕНИНА, 482в
ЛЕНИНА, 55
ЛЕНИНГРАДСКИЙ, 1
ЛЕНИНГРАДСКИЙ, 10
ЛЕНИНГРАДСКИЙ, 15
ЛЕНИНГРАДСКИЙ, 17
ЛЕНИНГРАДСКИЙ, 18
ЛЕНИНГРАДСКИЙ, 19
ЛЕНИНГРАДСКИЙ, 2
ЛЕНИНГРАДСКИЙ, 21
ЛЕНИНГРАДСКИЙ, 22
ЛЕНИНГРАДСКИЙ, 25
ЛЕНИНГРАДСКИЙ, 28
ЛЕНИНГРАДСКИЙ, 29
ЛЕНИНГРАДСКИЙ, 3
ЛЕНИНГРАДСКИЙ, 4
ЛЕНИНГРАДСКИЙ, 5
ЛЕНИНГРАДСКИЙ, 7
ЛЕНИНГРАДСКИЙ, 8
ЛЕНИНГРАДСКИЙ, 9
ЛЕРМОНТОВА, 10
ЛЕРМОНТОВА, 181
ЛЕРМОНТОВА, 182А/А
ЛЕРМОНТОВА, 182А/Б
ЛЕРМОНТОВА, 182А/В
ЛЕРМОНТОВА, 182А/Г
ЛЕРМОНТОВА, 182А/Д
ЛЕРМОНТОВА, 79
ЛЕРМОНТОВА, 88
ЛЕСНАЯ, 151В
ЛИТЕЙНЫЙ, 1
ЛИТЕЙНЫЙ, 11
ЛИТЕЙНЫЙ, 13
ЛИТЕЙНЫЙ, 5
ЛИТЕЙНЫЙ, 7
ЛИТЕЙНЫЙ, 9
М.МОРОЗОВА, 17а
М.МОРОЗОВА, 17б
М.МОРОЗОВА, 30А
МАРТЫНЕНКО, 1
МАРШАЛА, ЖУКОВА
МАСТЕРОВАЯ, 24А
МАСТЕРОВАЯ, 34
МАТРОСОВА, 42/119
МАЯКОВСКОГО, 42
МЕНДЕЛЕЕВА, 6
МЕНДЕЛЕЕВА, 8
МЕТАЛЛИСТОВ, 1
МЕТАЛЛИСТОВ, 2
МЕТАЛЛИСТОВ, 3
МЕТАЛЛИСТОВ, 6
МЕТАЛЛИСТОВ, 7
МЕТАЛЛИСТОВ, 9
МИРА, 148
МИРА, 247/38
МИРА, 303
МИРА, 343а
МОСКОВСКАЯ, 47
МОСКОВСКАЯ, 49
МОСКОВСКАЯ, 51
МОСКОВСКАЯ, 53
МОСКОВСКАЯ, 55
НАДЕЖДЕНСКИЙ, 3
НОВОСЛОБОДСКИЙ, 9
О.РЕВОЛЮЦИИ, 11а
О.РЕВОЛЮЦИИ, 27
ОБЪЕЗДНАЯ, 11
ОБЪЕЗДНАЯ, 13
ОБЪЕЗДНАЯ, 5б
ОБЪЕЗДНАЯ, 7
ОЛЬХОВЫЙ, 5
ОЛЬХОВЫЙ, 8
ОНЕЖСКИЙ, 28/2
ОРДЖОНИКИДЗЕ, 22
ОРДЖОНИКИДЗЕ, 25
ОРДЖОНИКИДЗЕ, 27
ОРДЖОНИКИДЗЕ, 29
ОРДЖОНИКИДЗЕ, 33
ОРДЖОНИКИДЗЕ, 35
ОРДЖОНИКИДЗЕ, 36
ОРДЖОНИКИДЗЕ, 37
ОРДЖОНИКИДЗЕ, 41
ОРДЖОНИКИДЗЕ, 46
ОРДЖОНИКИДЗЕ, 52
ОРДЖОНИКИДЗЕ, 55
ОРДЖОНИКИДЗЕ, 60
ОРДЖОНИКИДЗЕ, 61
ОРДЖОНИКИДЗЕ, 7
ОРДЖОНИКИДЗЕ, 8
ОРДЖОНИКИДЗЕ, 90
ПАРТИЗАНСКАЯ, 38
ПАРТИЗАНСКАЯ, 6/1
ПАРТИЗАНСКАЯ, 8а
ПЕРЕДОВОЙ, 10
ПЕРЕДОВОЙ, 11
ПЕРЕДОВОЙ, 1а
ПЕРЕДОВОЙ, 2
ПЕРСПЕКТИВНАЯ, 101
ПЕРСПЕКТИВНАЯ, 99а
ПИОНЕРСКАЯ, 39
ПИРОГОВА, 34/4
ПИРОГОВА, 63а
ПРИГОРОДНАЯ, 274/9
ПУШКИНА, 1
Р.ЛЮКСЕМБУРГ, 1а
Р.ЛЮКСЕМБУРГ, 6
РЕПИНА, 75
РЕПИНА, 75а
РТИЩЕНСКИЙ, 16
РТИЩЕНСКИЙ, 18
РТИЩЕНСКИЙ, 20
РТИЩЕНСКИЙ, 23
РУБЕЖНЫЙ, 7
РЫЛЕЕВА, 15
САВЧЕНКО, 1а
САВЧЕНКО, 5/1
СЕЛЕКЦИОННАЯ, СТАНЦИЯ
СЕЛЬСКАЯ, 18г
СЕЛЬСКАЯ, ЛИТЕР
СЕМАШКО, 14/2
СЕРОВА, 2/2
СЕРОВА, 458
СЕРОВА, 47
СЕРОВА, 9/1
СОВЕТСКАЯ, 12а
СОЦИАЛИСТИЧЕСКАЯ, 18/2
СОЦИАЛИСТИЧЕСКАЯ, 2/1
СОЦИАЛИСТИЧЕСКАЯ, 2/2
СОЦИАЛИСТИЧЕСКАЯ, 20/2
СОЦИАЛИСТИЧЕСКАЯ, 21/1
СОЦИАЛИСТИЧЕСКАЯ, 22
СОЦИАЛИСТИЧЕСКАЯ, 28/2
СОЦИАЛИСТИЧЕСКАЯ, 30
СОЦИАЛИСТИЧЕСКАЯ, 6/2
СОЦИАЛИСТИЧЕСКАЯ, 8/1
СТАНИЧНАЯ, 21
СТАНИЧНАЯ, 81
СТАРОМАРЬЕВСКОЕ, ШОССЕ
ТОМСКИЙ, 1
ТОМСКИЙ, 10
ТОМСКИЙ, 2
ТОМСКИЙ, 3
ТРУНОВА, 97
УЗОРНАЯ, 12/6
УЗОРНАЯ, 12а
УЗОРНАЯ, 25
ФАБРИЧНЫЙ, 1
ФАБРИЧНЫЙ, 2
ФАБРИЧНЫЙ, 3
ФЕДЕРАЛЬНАЯ, 17
ХМЕЛЬНИЦКОГО, 172
ЧЕХОВА, 31/3
ЧЕХОВА, 31/4
ЧЕХОВА, 39
ЧЕХОВА, 41
ЧКАЛОВА, 2
ЧКАЛОВА, 33
ЧКАЛОВА, 42
ШЕВЧЕНКО, 80
ШЕВЧЕНКО, 93
ШИПКИНСКИЙ, 26
ШИРОКАЯ, 19
ШИРОКАЯ, 21
ШПАКОВСКАЯ, 105
ШПАКОВСКАЯ, 107
ЭНГЕЛЬСА, 1
ЭНГЕЛЬСА, 15
ЭНГЕЛЬСА, 2
ЭНГЕЛЬСА, 20
ЭНГЕЛЬСА, 23/3
ЭНГЕЛЬСА, 24
ЭНГЕЛЬСА, 26
ЭНГЕЛЬСА, 27
ЭНГЕЛЬСА, 3
ЭНГЕЛЬСА, 4
ЭНГЕЛЬСА, 5
ЭНГЕЛЬСА, 6
ЭНГЕЛЬСА, 7
ЭНГЕЛЬСА, 9
ЮНОСТИ, 3/1
ЯСЕНОВСКАЯ, 33а
ЯСЕНОВСКАЯ, 5
