street,house
Маршала Жукова, 42
Маршала Жукова, 42/311
Дзержинского, 116в/1
Дзержинского, 136 а
Дзержинского, 136 б
Дзержинского, 172
Дзержинского, 176
Дзержинского, 188
Зоотехнический, 11
Л.Толстого, 16а
Л.Толстого, 2
Ленина, 213
Ленина, 284
Ленина, 318/3
Ломоносова, 2
Маршала Жукова, 30
М.Морозова, 14
М.Морозова, 16/1
М.Морозова, 3
М.Морозова, 30
М.Морозова, 49
М.Морозова, 51
М.Морозова, 7
Мира, 309
Октябрьской Революции, 28
Октябрьской Революции, 32
Октябрьской Революции, 34
Пушкина, 14
Пушкина, 3
Пушкина, 3а
Ленина, 300
М.Морозова, 73/10
Ленина, 304А
Ленина, 318/1
Артема, 5
Артема, 5-А
Ашихина, 5
Ленина, 237
Ленина, 318/2
Ленина, 288
Ломоносова, 32
Мира, 280/5
Дзержинского, 174
М.Морозова, 7А
М.Морозова, 17Б
Туапсинская, 2а
Биологическая, 14
Биологическая, 8
Готвальда, 1
Каховский, 22
Комсомольская, 8
Комсомольская, 8б
Ленина, 100
Ленина, 104
Ленина, 108
Ленина, 110
Ленина, 112
Ленина, 63
Ленина, 74/13
Ленина, 74/15
Ленина, 85
Ленина, 91а
Мира, 139
Мира, 143
Московская, 45
Надежденский, 1/2
Надежденский, 1/3
Расковой, 1
Чкалова, 34
Биологическая, 10
Биологическая, 6
Ленина, 88
Мира, 149
Биологическая, 12
Металлистов, 5
Мира, 145
Надежденский, 3/2
Надежденский, 1
Чкалова, 27 а
Биологическая, 2
Биологическая, 2/1
Биологическая, 10/1
Биологическая, 16
Гвардейский, 7
Гвардейский, 14
Добролюбова, 12
Добролюбова, 20
Ленина, 79
Ленина, 91б
Ленина, 114
Мира, 141
Мира, 141/1
Надежденский, 1/1
Надежденский, 1/4
Туапсинская, 10
Готвальда, 11
Комсомольская, 8а
Литейный, 4/1
Чехова, 37 А
Октябрьской Революции, 11б
Ленина, 318/4
Мира, 236
Мира, 316
Лермонтова, 239/2
Лермонтова, 271
Лермонтова, 219
Мира, 278 в
Мира, 334
Л.Толстого, 48
Мира, 382
Р.Люксембург, 65а
Мира, 304а
Лермонтова, 235
Лермонтова, 257
Лермонтова, 241
Р.Люксембург, 63
Лермонтова, 179
Лермонтова, 193
Врачебный, 42
Ломоносова, 34
Маршала Жукова, 44
Пушкина, 73
Мира, 312
Мира, 280/1
Мира, 280/2
Мира, 324А
Мира, 324Б
Мира, 324В
Мира, 328
Мира, 332
Лермонтова, 221
Лермонтова, 153Б
Лермонтова, 155
Лермонтова, 229
Энгельса, 23
Пушкина, 63
Краснофлотская, 80
Ломоносова, 63
Энгельса, 28
Мира, 392/76
Мира, 360
Ленина пл., 3
45 Параллель, 10
Юности, 28/2
50 лет ВЛКСМ, 53/4
Лермонтова, 151
Фестивальный, 5
Фестивальный, 7
Ленина, 436
Ленина, 448
Ленина, 450а
Мира, 432
Лермонтова, 153
Гагарина, 9
Мира, 280/4
Братский, 3
Мира, 242
Булкина, 11 А
Пржевальского, 3
Энгельса, 25
М.Морозова, 16а
Беличенко, 2
Магистральная, 16
Серова, 243
Серова, 482
Дзержинского, 116в/2
Мира, 276 а
Мира, 280/6
Врачебный, 48
Лермонтова, 239/4
Ленина, 328/18
Лермонтова, 153 а
Некрасова, 82
Врачебный, 46
Мира, 218
Ленина, 328/13
Ленина, 328/2
Мира, 367/1
Краснофлотская, 74
Доваторцев, 21
Доваторцев, 31
Тельмана, 238
Тельмана, 238/1
Мира, 155
Пушкина, 25
Фроленко, 6
Мира, 367/20
Ленина, 328/10
Мира, 367/23
Доваторцев, 34
Серова, 2/3
Серова, 8
Краснофлотская, 92/315
Лермонтова, 79
Ленина, 393
Ленина, 395
Бруснева, 6
Горького, 34
Короленко, 15/1
Гагарина, 12
Доваторцев, 26-а
Горького, 53
Бруснева, 6/2
Магистральная, 12
Ленина, 287
Дзержинского, 172-а
М.Морозова, 55
Ленина, 347
М.Морозова, 50
М.Морозова, 56
Беличенко, 8
Мира, 374
М.Морозова, 36
М.Морозова, 66
Чехова, 35
Чехова, 79
60 лет Победы, 23
Чехова, 33
Чехова, 83/1
Ленина, 287/1
Ленина, 277а
Ленина, 277б
Ленина, 287/2
Ленина, 287/4
Ленина, 326/38
Ленина, 408а
Л.Толстого, 20
Л.Толстого, 22
Магистральная, 8
Космонавтов, 22
М.Морозова, 47
М.Морозова, 54
М.Морозова, 66а
Пушкина, 20
Серова, 470/5
Чехова, 79/1
Ленина, 287/3
Ломоносова, 10А
Л.Толстого, 58
Комсомольская, 12/10
Г.побратима Безье, 15 поз.4
Мира, 283
Мира, 147
Чехова, 59
Парижской коммуны, 54 А
Пирогова, 62/2
ДОВАТОРЦЕВ, 3
ДОВАТОРЦЕВ, 4а
КОРОЛЕНКО, 3
КОРОЛЕНКО, 5
КОРОЛЕНКО, 7
ЛЕНИНА, 410а
ЛЕНИНА, 422
ЛЕНИНА, 424
ЛЕНИНА, 432
ЛЕНИНА, 438
ЛЕНИНА, 452
ЛЕНИНА, 454
МИРА, 402
МИРА, 430
МИРА, 456
МИРА, 469
МИРА, 473
ПРЖЕВАЛЬСКОГО, 2/2
ПРЖЕВАЛЬСКОГО, 5
СОЦИАЛИСТИЧЕСКАЯ, 1
СОЦИАЛИСТИЧЕСКАЯ, 1А
СОЦИАЛИСТИЧЕСКАЯ, 3
БРАТСКИЙ, 10
БРАТСКИЙ, 16
БРАТСКИЙ, 6
БРАТСКИЙ, 7
КОРОЛЕНКО, 14/1
КОРОЛЕНКО, 16/1
КОРОЛЕНКО, 18
КОРОЛЕНКО, 31
КРАСНОФЛОТСКАЯ, 42/117
ПРЖЕВАЛЬСКОГО, 19
ТОМСКИЙ, 7
ВОЙТИКА, 15
ШЕВЧЕНКО, 75
ШЕВЧЕНКО, 76
ШЕВЧЕНКО, 77
ШЕВЧЕНКО, 78
ШЕВЧЕНКО, 79
