street,house
50 лет ВЛКСМ, 16/5
50 лет ВЛКСМ, 44/3
Шпаковская, 72
Шпаковская, 82/2
50 лет ВЛКСМ, 35/1
Доваторцев, 35/2
Доваторцев, 66/2
Доваторцев, 37/2
Фестивальный, 15
Доваторцев, 44/4
Доваторцев, 41/3
Тухачевского, 12/1
50 лет ВЛКСМ, 81
Тухачевского, 9а
50 лет ВЛКСМ, 51/1
Фестивальный, 1/1
50 лет ВЛКСМ, 20/3
50 лет ВЛКСМ, 43А
Пирогова, 24/2
50 лет ВЛКСМ, 8А/2
50 лет ВЛКСМ, 8А/1
Фроленко, 4
Шпаковская, 84
Ворошилова, 7/4
Ворошилова, 9/1
50 лет ВЛКСМ, 51/3
50 лет ВЛКСМ, 51/4
50 лет ВЛКСМ, 55/1
50 лет ВЛКСМ, 57/2
Ворошилова, 3/2
50 лет ВЛКСМ, 55/2
50 лет ВЛКСМ, 89
Пирогова, 46/2
Пирогова, 40/1
Доваторцев, 37/4
50 лет ВЛКСМ, 52/1
45 Параллель, 11/1
45 Параллель, 12
45 Параллель, 14
45 Параллель, 16
Пирогова, 22/3
Пирогова, 22/1
Тухачевского, 12/2
50 лет ВЛКСМ, 105
Сельская, 24 Г
50 лет ВЛКСМ, 42/3
50 лет ВЛКСМ, 14-Б
Пирогова, 30А
Доваторцев, 67
Пирогова, 38/2
Шпаковская, 74/1
50 лет ВЛКСМ, 9
50 лет ВЛКСМ, 44/1
50 лет ВЛКСМ, 20/2
Л.Толстого, 119
50 лет ВЛКСМ, 3/6
50 лет ВЛКСМ, 47
Пирогова, 20
50 лет ВЛКСМ, 38/1
Тухачевского, 7/1
Пирогова, 96
50 лет ВЛКСМ, 34/2
Пирогова, 68/3
Доваторцев, 37/5
50 лет ВЛКСМ, 45
Доваторцев, 44/2
50 лет ВЛКСМ, 28/2
Тухачевского, 11А
45 Параллель, 26
Пирогова, 34/2
Пражский, 10
Пирогова, 34/1
Доваторцев, 32 Б
45 параллель, 5/4
Пирогова, 37
Сельская, 24 В
Доваторцев, 73/1
Пирогова, 61
Пирогова, 44
45 Параллель, 22/8
50 лет ВЛКСМ, 61
50 лет ВЛКСМ, 99
Ворошилова, 8/1
Ворошилова, 8/2
Герцена, 145
50 лет ВЛКСМ, 97
Перспективная, 1-б
Серова, 9/2
Пирогова, 62/1
50 лет ВЛКСМ, 81/1
Узорная, 18-А
Шпаковская, 115 (2оч)
Савченко, 15А
Салова, 8
Салова, 10
Некрасова, 86
Доваторцев, 37/6
50 лет ВЛКСМ, 107
50 лет ВЛКСМ, 85
Доваторцев, 25
50 лет ВЛКСМ, 23/6
45 Параллель, 7/1
Доваторцев, 59/3
50 лет ВЛКСМ, 13-А
Доваторцев, 49/4
Шпаковская, 115 (3оч)
Доваторцев, 49/3
Тухачевского, 15/1
50 лет ВЛКСМ, 41/2
Пирогова, 40/2
50 лет ВЛКСМ, 24/1
Доваторцев, 57/2
Фроленко, 2
Чехова, 15
Ленина, 98
Мира, 280/3
Ковалева, 1
Ленина, 235а
Мира, 135
Туапсинская, 14
Ленина, 125
Мира, 117
Чехова, 108
Чехова, 110
Чехова, 112
Гризодубовой, 19
Мира, 341
Серова, 474
Ленина, 108/2
Ленина, 192
Ленина, 120/2
Мира, 237
Менделеева, 4
Маршала Жукова, 26
Чехова, 45
Серова, 474
Л.Толстого, 121а
Серова, 279 а
Лермонтова, 129
Ленина, 184
Чехова, 43
Серова, 470/2
Серова, 470/3
М.Морозова, 38
Мира, 143а
Лермонтова, 206/1
М.Морозова, 45
Чехова, 49
Лермонтова, 193 а
Ленина, 245
Пушкина, 63/1
Чехова, 130
Чехова, 144
Чехова, 146
Р.Люксембург, 29
Чехова, 47
Комсомольская, 41-б
Комсомольская, 41-в
Чернышевского, 1а
Ломоносова, 45
Мира/Ломоносова, 355/38
Осипенко, 8
Лермонтова, 199
Пирогова, 70
Лермонтова, 239/5
Чехова, 164/1
Р.Люксембург, 17
Серова, 470/4
Мира, 284/1
Мира, 282
Мира, 282/2
Гризодубовой, 30
Серова, 468/2
М.Морозова, 22
Серова, 468/6
Ленина, 111
Комсомольская, 65а
Ленина, 243
Мира, 285
Мимоз, 39
Серова, 466 Г
Чехова, 33/1
Чехова, 57
Серова, 472/2
Серова, 472/1
Достоевского, 52в п.1
Достоевского, 52в п.2
Достоевского, 52в п.3
Чехова, 120
Чехова, 85/16 А
Г.побратима Безье, 15Б
Чехова, 77
Чехова, 96/1
Серова, 470/6
Г.побратима Безье, 15
Ленина, 276
М.Морозова, 90а
Ленина, 105
Голенева, 69
Добролюбова, 31
К.Хетагурова, 18
К.Хетагурова, 20
К.Хетагурова, 20а
К.Хетагурова, 26
Комсомольская, 40
Комсомольская, 46
Комсомольская, 62
Комсомольская, 81
Комсомольская, 87
Комсомольская, 89
Ленина, 116
Ленина, 118а
Ленина, 122
Ленина, 122а
Ленина, 124
Ленина, 200
Ленина, 208
Ленина, 268
Ленина, 270а
Ленина, 272а
Ленина, 274а
Ленина, 282
Мира, 151
Мира, 159
Мира, 161
Мира, 165
Мира, 239
Мира, 241
Мира, 297
Р.Люксембург, 1
Р.Люксембург, 31
Р.Люксембург, 31а
Р.Люксембург, 33
Р.Люксембург, 35
Спартака, 5
Спартака, 5 а
Спартака, 7
Объездная, 1А
Добролюбова, 19
Комсомольская, 89/1
Ленина, 97
Ленина, 120А
Ленина, 31
Ленина, 111/2
Ленина, 120
Маяковского, 16 а
Артема, 7
М.Морозова, 1
