street,house
Мира, 426/2
Ботанический, 11
Мира, 456/2
Ботанический, 3
Гагарина, 2
М.Морозова, 100
Социалистическая, 18/1
Васильева, 1
Юности, 26
Мира, 426/1
Короленко, 29/1
Ленина, 472
Мира, 463
Осетинская, 10
Короленко, 25/1
50 лет ВЛКСМ, 36/1
Короленко, 29/2
Короленко, 2/1
Братский, 15
Мира, 454
Передовой, 3
Ленина, 328/9
Ленина, 328/7
Шпаковская, 82/4
Социалистическая, 34
Пирогова, 30
Юности, 36
Ленина, 118
Передовой, 6
Ленина, 328/8
Макарова, 10/2
Лермонтова, 204
Бруснева, 9 Д
Бруснева, 9 Б
Бруснева, 9 Б/1
Юности, 26-А
М.Морозова, 46
Мира, 315
Осетинская, 8
Ленина, 391
М.Морозова, 3а
Лесная , 151а,б,г
Короленко, 16/2
Короленко, 12
Социалистическая, 32/1
Энгельса, 12
Энгельса, 13
Энгельса, 14
Энгельса, 22
Энгельса, 16
Тельмана, 239
Энгельса, 19
Энгельса, 17
Энгельса, 11
Энгельса, 18
М.Морозова, 59
Гагарина, 21
Ленина, 441/2
Мира, 400
Васильева, 11
Семашко, 4/1
Ленина, 444
М.Морозова, 96
Юности, 5
Гагарина, 10
Мира, 428
Семашко, 16
Юности, 26/2
Социалистическая, 6/1
Гагарина, 6
Тельмана, 236
Тельмана, 234/1
Ленина, 446
Мира, 362
Томский, 13
Томский, 15
Васильева, 15
Энгельса, 21
Энгельса, 10
Ленина, 412/1
Энгельса, 8
М.Морозова, 90
Пржевальского, 11/1
Мира, 356
Короленко, 20
45 Параллель, 10 А
Бруснева, 12/3
Бруснева, 17
Васильева, 9
Кулакова, 29/3А
Кулакова, 29/3В
Юности, 11
Буйнакского, 8
Ленина, 328/11
Ленина, 328/15
Мира, 367/17
Мира, 367/21
Мира, 367/22
Мира, 367/24
Шпаковская, 1А
Шпаковская, 3
Доваторцев, 29
8 Марта, 176
Передовой, 7
Ленина, 328/12
Орджоникидзе, 2-б
Передовой, 9
Ленина, 410
Томский, 5
Ленина, 452а
Короленко, 27
Короленко, 25/2
Социалистическая, 26
Гагарина, 13
К.Маркса, 35
Ботанический, 16
Ботанический, 8а
Мира, 456 а
Дзержинского, 231
Ленина, 466
Ботанический, 8
Ботанический, 14
Краснофлотская, 32
Краснофлотская, 46
Пржевальского, 11/2
Л.Толстого, 25
Ленина, 365а
Социалистическая, 16
Ботанический, 9
Ботанический, 10 а
Ботанический, 12
Короленко, 6
Мира, 404
Мира, 456/1
Серова, 2
Ленина, 450
Осетинская, 12
Осетинская, 14
Мира, 455
Бруснева, 11
Бруснева, 19/1
Васильева, 7
Васильева, 13
Юности, 4
Юности, 4-А
Юности, 8
Юности, 9
Юности, 10
Юности, 12
Юности, 13
Юности, 6
Бруснева, 19/2
Ленина, 387
Бруснева, 9
Васильева, 5
Бруснева, 2/3
Бруснева, 6/3
Бруснева, 4/2
Короленко, 26
Социалистическая, 27
Ленина, 328/6
Ботанический, 13
Лесная, 206
Лесная, 208
Лесная, 210
Октябрьская, 229
М.Морозова, 105
Гагарина, 18
